energy_gev,repeat,method,estimate_fb,internal_stderr_fb,normalized_ess,evaluations,seconds,run_name,log
1400.0,0,conditional_nf,0.3967454889925516,0.00017332772642521238,0.912884044121904,500000.0,18.250970927008893,,
1400.0,0,madevent,0.39585800000000004,,,,17.5804815919837,highstat_r0_1400,<PROJECT_ROOT>/results/nf_vs_madevent_tth_highstat/highstat_r0_1400.log
1400.0,1,conditional_nf,0.3965190143851761,0.00017332968984498954,0.912791379255185,500000.0,18.136205953953322,,
1400.0,1,madevent,0.395777,,,,18.20930252101971,highstat_r1_1400,<PROJECT_ROOT>/results/nf_vs_madevent_tth_highstat/highstat_r1_1400.log
1400.0,2,conditional_nf,0.3967784070241923,0.00017333451037256155,0.9128910148753795,500000.0,18.011658306990284,,
1400.0,2,madevent,0.396873,,,,17.653959444956854,highstat_r2_1400,<PROJECT_ROOT>/results/nf_vs_madevent_tth_highstat/highstat_r2_1400.log
1400.0,3,conditional_nf,0.396616611090537,0.0001736554982063514,0.912531230140776,500000.0,18.169159704993945,,
1400.0,3,madevent,0.396111,,,,17.580672224983573,highstat_r3_1400,<PROJECT_ROOT>/results/nf_vs_madevent_tth_highstat/highstat_r3_1400.log
1400.0,4,conditional_nf,0.39640342413426416,0.0001731283369771066,0.9129299160302456,500000.0,18.091587445000187,,
1400.0,4,madevent,0.396387,,,,17.979711686028168,highstat_r4_1400,<PROJECT_ROOT>/results/nf_vs_madevent_tth_highstat/highstat_r4_1400.log
1400.0,5,conditional_nf,0.39642680757920956,0.00017364561097901943,0.9124638828452373,500000.0,18.06253213796299,,
1400.0,5,madevent,0.396045,,,,18.840579039999284,highstat_r5_1400,<PROJECT_ROOT>/results/nf_vs_madevent_tth_highstat/highstat_r5_1400.log
1400.0,6,conditional_nf,0.3965262536100451,0.00017328153264190222,0.9128385137642853,500000.0,18.062915032962337,,
1400.0,6,madevent,0.395941,,,,17.590072770020925,highstat_r6_1400,<PROJECT_ROOT>/results/nf_vs_madevent_tth_highstat/highstat_r6_1400.log
1400.0,7,conditional_nf,0.39618641573180186,0.00017321445581158144,0.9127636571846961,500000.0,18.139270827989094,,
1400.0,7,madevent,0.39693999999999996,,,,17.275485855003353,highstat_r7_1400,<PROJECT_ROOT>/results/nf_vs_madevent_tth_highstat/highstat_r7_1400.log
1400.0,8,conditional_nf,0.3960249472481517,0.00017370702822669103,0.9122451259361122,500000.0,18.065136827004608,,
1400.0,8,madevent,0.396002,,,,17.661078887991607,highstat_r8_1400,<PROJECT_ROOT>/results/nf_vs_madevent_tth_highstat/highstat_r8_1400.log
1400.0,9,conditional_nf,0.39649856845966786,0.00017327930931992195,0.9128294444524228,500000.0,18.069734829012305,,
1400.0,9,madevent,0.39634400000000003,,,,17.616412167961244,highstat_r9_1400,<PROJECT_ROOT>/results/nf_vs_madevent_tth_highstat/highstat_r9_1400.log
2000.0,0,conditional_nf,0.38349174869039865,0.00019763035106366004,0.882776185504774,500000.0,18.078696984041017,,
2000.0,0,madevent,0.382541,,,,15.897468840994406,highstat_r0_2000,<PROJECT_ROOT>/results/nf_vs_madevent_tth_highstat/highstat_r0_2000.log
2000.0,1,conditional_nf,0.3834557258995003,0.0001967875484857735,0.8836384764226559,500000.0,18.068968801002484,,
2000.0,1,madevent,0.38260400000000006,,,,16.898259537993,highstat_r1_2000,<PROJECT_ROOT>/results/nf_vs_madevent_tth_highstat/highstat_r1_2000.log
2000.0,2,conditional_nf,0.3837130196060109,0.00019710635995148572,0.883443383569921,500000.0,18.14585673395777,,
2000.0,2,madevent,0.38283300000000003,,,,18.300489493005443,highstat_r2_2000,<PROJECT_ROOT>/results/nf_vs_madevent_tth_highstat/highstat_r2_2000.log
2000.0,3,conditional_nf,0.3832566345461476,0.0001969899254174038,0.8833199250320772,500000.0,18.07280559494393,,
2000.0,3,madevent,0.38287,,,,17.803516084037255,highstat_r3_2000,<PROJECT_ROOT>/results/nf_vs_madevent_tth_highstat/highstat_r3_2000.log
2000.0,4,conditional_nf,0.3834811672955012,0.00019648188214272085,0.8839713753534243,500000.0,18.171338109998032,,
2000.0,4,madevent,0.383321,,,,17.636222069035284,highstat_r4_2000,<PROJECT_ROOT>/results/nf_vs_madevent_tth_highstat/highstat_r4_2000.log
